DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313140410_OlE_HR_IPF0_21C_2x,4,WE00004,A004,LO001,CO1,23.8,v1.4(may22-region),367.632,0.320,1847.000,14.471,3720.000,0.386,0.567,5.000,2.000,0.989,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,10,WE00010,A010,LO001,CO1,23.8,v1.4(may22-region),315.066,1.650,7822.000,8.929,3615.000,0.432,0.672,15.000,2.000,0.946,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,11,WE00011,A011,LO001,CO1,23.78,v1.4(may22-region),516.953,13.398,4820.000,5.677,2949.000,0.474,0.708,76.000,8.000,0.905,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,12,WE00012,A012,LO001,CO1,23.81,v1.4(may22-region),548.543,22.166,5498.000,4.028,4356.000,0.597,0.836,89.000,13.000,0.964,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,14,WE00014,B011,LO001,CO1,23.78,v1.4(may22-region),460.598,7.747,1008.000,6.166,7639.000,0.626,0.830,48.000,11.000,0.995,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,15,WE00015,B010,LO001,CO1,23.84,v1.4(may22-region),321.219,0.797,1546.000,10.824,8396.000,0.385,0.568,9.000,2.000,0.850,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,22,WE00022,B003,LO001,CO1,23.81,v1.4(may22-region),344.094,0.391,1356.000,18.921,4484.000,0.368,0.563,7.000,2.000,0.805,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,25,WE00025,C001,LO001,CO1,23.79,v1.4(may22-region),362.199,3.581,574.000,5.202,3141.000,0.520,0.795,19.000,4.000,0.915,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,26,WE00026,C002,LO001,CO1,23.78,v1.4(may22-region),661.702,0.426,6189.000,116.032,6201.000,0.357,0.460,49.000,11.000,0.703,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,27,WE00027,C003,LO001,CO1,23.78,v1.4(may22-region),326.122,2.894,1585.000,8.461,4861.000,0.530,0.887,24.000,3.000,0.859,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,28,WE00028,C004,LO001,CO1,23.81,v1.4(may22-region),629.903,32.542,3241.000,5.065,3778.000,0.662,0.898,165.000,26.000,0.974,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,29,WE00029,C005,LO001,CO1,23.78,v1.4(may22-region),704.889,6.186,2218.000,17.098,3864.000,0.481,0.642,106.000,20.000,0.970,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,34,WE00034,C010,LO001,CO1,23.81,v1.4(may22-region),903.469,0.615,4923.000,111.628,5625.000,0.341,0.416,69.000,18.000,0.575,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,35,WE00035,C011,LO001,CO1,23.78,v1.4(may22-region),432.116,10.942,7651.000,4.863,4515.000,0.557,0.915,53.000,7.000,0.863,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,37,WE00037,D012,LO001,CO1,23.8,v1.4(may22-region),251.960,0.686,1888.000,6.863,3642.000,0.676,0.826,5.000,2.000,1.000,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,38,WE00038,D011,LO001,CO1,23.8,v1.4(may22-region),517.982,0.262,5820.000,201.784,6684.000,0.345,0.448,53.000,7.000,0.642,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,39,WE00039,D010,LO001,CO1,23.82,v1.4(may22-region),376.784,1.563,5341.000,41.474,5237.000,0.458,0.568,65.000,7.000,0.935,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,40,WE00040,D009,LO001,CO1,23.79,v1.4(may22-region),249.087,0.496,1056.000,6.222,2828.000,0.399,0.775,3.000,1.000,0.944,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,41,WE00041,D008,LO001,CO1,23.82,v1.4(may22-region),367.100,0.562,1632.000,39.669,6097.000,0.327,0.463,22.000,4.000,0.597,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,44,WE00044,D005,LO001,CO1,23.8,v1.4(may22-region),437.143,4.198,3277.000,12.209,11041.000,0.530,0.777,51.000,8.000,0.994,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,52,WE00052,E004,LO001,CO1,23.81,v1.4(may22-region),346.422,0.131,1408.000,118.418,4501.000,0.332,0.431,16.000,3.000,0.642,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,62,WE00062,F011,LO001,CO1,23.8,v1.4(may22-region),801.693,3.038,5659.000,85.776,6523.000,0.397,0.539,261.000,29.000,0.758,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,63,WE00063,F010,LO001,CO1,23.81,v1.4(may22-region),469.279,12.397,9061.000,4.782,5681.000,0.576,0.877,59.000,9.000,0.884,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,65,WE00065,F008,LO001,CO1,23.81,v1.4(may22-region),752.163,1.318,7275.000,74.180,7710.000,0.367,0.472,98.000,15.000,0.818,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,66,WE00066,F007,LO001,CO1,23.79,v1.4(may22-region),483.570,13.699,3410.000,5.790,7497.000,0.633,0.883,79.000,14.000,0.975,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,67,WE00067,F006,LO001,CO1,23.84,v1.4(may22-region),423.388,5.287,6846.000,4.162,6847.000,0.496,0.790,22.000,5.000,0.889,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,68,WE00068,F005,LO001,CO1,23.82,v1.4(may22-region),758.116,0.790,6430.000,142.548,8893.000,0.363,0.473,113.000,20.000,0.717,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,73,WE00073,G001,LO001,CO1,23.82,v1.4(may22-region),210.731,0.062,546.000,54.685,1708.000,0.380,0.477,3.000,1.000,0.965,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,75,WE00075,G003,LO001,CO1,23.83,v1.4(may22-region),562.079,15.643,6174.000,4.904,3660.000,0.495,0.784,77.000,10.000,0.912,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,77,WE00077,G005,LO001,CO1,23.78,v1.4(may22-region),248.143,1.586,1164.000,14.164,3082.000,0.680,0.851,22.000,3.000,0.997,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,78,WE00078,G006,LO001,CO1,23.8,v1.4(may22-region),421.240,6.671,4381.000,3.637,5921.000,0.519,0.828,24.000,5.000,0.872,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,80,WE00080,G008,LO001,CO1,23.8,v1.4(may22-region),628.320,17.611,3817.000,6.260,6130.000,0.589,0.816,110.000,18.000,0.933,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,82,WE00082,G010,LO001,CO1,23.82,v1.4(may22-region),216.266,0.484,612.000,11.208,5512.000,0.541,0.713,5.000,1.000,0.969,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,84,WE00084,G012,LO001,CO1,23.79,v1.4(may22-region),423.884,7.407,5003.000,6.585,2950.000,0.505,0.760,49.000,5.000,0.898,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,85,WE00085,H012,LO001,CO1,23.8,v1.4(may22-region),228.484,0.064,2281.000,49.220,3014.000,0.332,0.428,3.000,1.000,0.767,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,86,WE00086,H011,LO001,CO1,23.8,v1.4(may22-region),479.256,12.729,3238.000,3.488,1999.000,0.545,0.856,44.000,8.000,0.868,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,95,WE00095,H002,LO001,CO1,23.78,v1.4(may22-region),572.904,0.345,4746.000,154.682,5043.000,0.376,0.496,53.000,9.000,0.767,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,99,WE00003,A003,LO002,CO1,23.8,v1.4(may22-region),628.121,3.766,5202.000,25.626,4754.000,0.469,0.704,97.000,14.000,0.943,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,100,WE00004,A004,LO002,CO1,23.79,v1.4(may22-region),503.894,2.025,8084.000,16.908,7256.000,0.472,0.663,34.000,7.000,0.931,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,103,WE00007,A007,LO002,CO1,23.8,v1.4(may22-region),389.411,2.256,2818.000,16.593,3316.000,0.419,0.670,37.000,4.000,0.858,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,104,WE00008,A008,LO002,CO1,23.82,v1.4(may22-region),667.498,1.084,6708.000,90.675,4594.000,0.367,0.492,98.000,14.000,0.704,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,105,WE00009,A009,LO002,CO1,23.79,v1.4(may22-region),403.329,1.104,5660.000,38.744,3425.000,0.426,0.646,43.000,6.000,0.893,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,108,WE00012,A012,LO002,CO1,23.78,v1.4(may22-region),389.955,7.007,3978.000,3.055,2682.000,0.516,0.756,21.000,4.000,0.966,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,110,WE00014,B011,LO002,CO1,23.82,v1.4(may22-region),531.391,8.170,6179.000,7.262,5574.000,0.652,0.905,59.000,12.000,0.955,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,111,WE00015,B010,LO002,CO1,23.83,v1.4(may22-region),575.097,9.459,5587.000,6.037,9205.000,0.512,0.828,57.000,9.000,0.920,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,121,WE00025,C001,LO002,CO1,23.79,v1.4(may22-region),436.916,11.408,2807.000,6.608,8879.000,0.580,0.831,75.000,8.000,0.964,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,124,WE00028,C004,LO002,CO1,23.8,v1.4(may22-region),553.824,7.750,7897.000,8.045,8724.000,0.554,0.756,62.000,11.000,0.977,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,125,WE00029,C005,LO002,CO1,23.79,v1.4(may22-region),540.737,13.626,8593.000,7.330,7265.000,0.546,0.808,100.000,12.000,0.914,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,129,WE00033,C009,LO002,CO1,23.79,v1.4(may22-region),389.902,0.402,1192.000,34.516,3384.000,0.454,0.608,14.000,3.000,0.998,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,131,WE00035,C011,LO002,CO1,23.79,v1.4(may22-region),207.402,0.162,647.000,16.332,2131.000,0.379,0.596,3.000,1.000,0.887,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,134,WE00038,D011,LO002,CO1,23.8,v1.4(may22-region),563.989,0.376,5653.000,141.316,6062.000,0.352,0.473,53.000,8.000,0.706,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,136,WE00040,D009,LO002,CO1,23.79,v1.4(may22-region),353.202,1.738,2436.000,5.548,3799.000,0.430,0.752,10.000,2.000,0.924,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,138,WE00042,D007,LO002,CO1,23.8,v1.4(may22-region),418.881,0.461,1894.000,40.930,6473.000,0.378,0.493,19.000,4.000,0.639,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,140,WE00044,D005,LO002,CO1,23.8,v1.4(may22-region),680.497,12.846,8059.000,6.418,9791.000,0.607,0.783,82.000,20.000,0.993,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,151,WE00055,E007,LO002,CO1,23.81,v1.4(may22-region),529.928,0.484,5778.000,80.851,6279.000,0.325,0.551,39.000,5.000,0.443,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,158,WE00062,F011,LO002,CO1,23.79,v1.4(may22-region),644.311,5.516,6407.000,22.034,5247.000,0.458,0.620,122.000,17.000,0.909,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,159,WE00063,F010,LO002,CO1,23.78,v1.4(may22-region),337.287,4.274,6360.000,5.783,4318.000,0.515,0.766,25.000,4.000,0.938,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,162,WE00066,F007,LO002,CO1,23.8,v1.4(may22-region),575.766,15.330,2990.000,5.997,6045.000,0.690,0.927,92.000,19.000,0.971,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,163,WE00067,F006,LO002,CO1,23.79,v1.4(may22-region),269.071,2.149,5585.000,4.748,4276.000,0.640,0.901,10.000,3.000,0.899,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,165,WE00069,F004,LO002,CO1,23.79,v1.4(may22-region),405.750,0.125,3703.000,54.986,35126.000,0.320,0.412,7.000,2.000,0.409,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,167,WE00071,F002,LO002,CO1,23.78,v1.4(may22-region),336.705,2.865,882.000,12.501,3825.000,0.761,0.875,36.000,8.000,0.990,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,171,WE00075,G003,LO002,CO1,23.83,v1.4(may22-region),621.939,2.634,6451.000,18.776,4355.000,0.409,0.583,49.000,8.000,0.839,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,173,WE00077,G005,LO002,CO1,23.79,v1.4(may22-region),714.781,18.101,5935.000,7.373,4932.000,0.565,0.825,133.000,21.000,0.938,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,174,WE00078,G006,LO002,CO1,23.81,v1.4(may22-region),677.942,29.773,7831.000,3.065,7053.000,0.588,0.857,91.000,16.000,0.910,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,178,WE00082,G010,LO002,CO1,23.78,v1.4(may22-region),526.771,18.276,4792.000,3.305,3165.000,0.575,0.863,60.000,10.000,0.854,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,180,WE00084,G012,LO002,CO1,23.78,v1.4(may22-region),194.221,0.140,516.000,9.868,6179.000,0.511,0.674,1.000,1.000,1.000,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,183,WE00087,H010,LO002,CO1,23.8,v1.4(may22-region),311.946,0.071,4890.000,59.686,4768.000,0.331,0.431,4.000,1.000,0.572,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,185,WE00089,H008,LO002,CO1,23.8,v1.4(may22-region),646.492,2.924,8321.000,41.975,10963.000,0.433,0.614,123.000,15.000,0.869,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,189,WE00093,H004,LO002,CO1,23.78,v1.4(may22-region),589.550,0.221,5625.000,160.216,6285.000,0.328,0.420,35.000,6.000,0.419,0.000,239.000,0.000,96.000,96.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,10,WE00010,A010,LO001,CO1,23.82,v1.4(may22-region),320.744,0.129,5199.000,39.851,4459.000,0.549,0.830,5.000,1.000,0.960,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,14,WE00014,B011,LO001,CO1,23.8,v1.4(may22-region),509.849,0.157,5736.000,130.116,4043.000,0.440,0.609,20.000,3.000,0.966,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,37,WE00037,D012,LO001,CO1,23.8,v1.4(may22-region),453.191,0.067,8167.000,225.095,9634.000,0.541,0.728,15.000,3.000,0.987,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,41,WE00041,D008,LO001,CO1,23.8,v1.4(may22-region),621.731,0.121,9436.000,718.309,10328.000,0.652,0.978,87.000,8.000,0.972,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,42,WE00042,D007,LO001,CO1,23.8,v1.4(may22-region),584.313,0.152,8406.000,173.032,11122.000,0.574,0.813,26.000,4.000,0.961,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,44,WE00044,D005,LO001,CO1,23.8,v1.4(may22-region),435.355,0.140,1335.000,27.104,4352.000,0.386,0.766,4.000,1.000,0.993,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,49,WE00049,E001,LO001,CO1,23.79,v1.4(may22-region),379.118,0.077,3157.000,73.394,6466.000,0.431,0.578,6.000,1.000,0.996,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,50,WE00050,E002,LO001,CO1,23.8,v1.4(may22-region),520.909,0.066,11389.000,443.504,7896.000,0.737,0.977,29.000,5.000,0.979,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,55,WE00055,E007,LO001,CO1,23.8,v1.4(may22-region),574.023,0.100,6415.000,174.086,4284.000,0.411,0.516,17.000,3.000,0.919,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,61,WE00061,F012,LO001,CO1,23.78,v1.4(may22-region),656.875,0.129,10275.000,763.963,10637.000,0.524,0.734,99.000,10.000,0.963,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,64,WE00064,F009,LO001,CO1,23.78,v1.4(may22-region),402.540,0.893,6045.000,24.666,71952.000,0.480,0.705,22.000,2.000,0.961,0.000,203.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,70,WE00070,F003,LO001,CO1,23.8,v1.4(may22-region),605.466,0.111,6902.000,688.162,12157.000,0.484,0.651,76.000,6.000,0.978,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,75,WE00075,G003,LO001,CO1,23.77,v1.4(may22-region),509.743,0.045,5321.000,414.973,6523.000,0.754,0.921,19.000,5.000,0.981,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,77,WE00077,G005,LO001,CO1,23.8,v1.4(may22-region),415.756,0.061,3423.000,317.392,3234.000,0.669,0.943,19.000,3.000,0.982,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,82,WE00082,G010,LO001,CO1,23.79,v1.4(may22-region),602.385,0.056,10412.000,1304.498,6229.000,0.697,0.986,74.000,9.000,0.978,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,89,WE00089,H008,LO001,CO1,23.81,v1.4(may22-region),615.896,0.276,11832.000,120.496,11120.000,0.507,0.757,33.000,5.000,0.927,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,95,WE00095,H002,LO001,CO1,23.77,v1.4(may22-region),553.252,0.207,5638.000,83.630,5933.000,0.525,0.708,17.000,4.000,0.951,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,96,WE00096,H001,LO001,CO1,23.81,v1.4(may22-region),926.485,0.378,5695.000,289.737,6205.000,0.741,0.985,109.000,17.000,0.980,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,104,WE00008,A008,LO002,CO1,23.79,v1.4(may22-region),562.455,0.028,1498.000,932.193,1809.000,0.605,0.703,26.000,6.000,0.999,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,105,WE00009,A009,LO002,CO1,23.8,v1.4(may22-region),621.820,0.166,3544.000,166.997,3753.000,0.403,0.548,28.000,4.000,0.873,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,106,WE00010,A010,LO002,CO1,23.77,v1.4(may22-region),349.690,0.052,1747.000,56.841,2406.000,0.491,0.630,3.000,1.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,109,WE00013,B012,LO002,CO1,23.79,v1.4(may22-region),478.089,0.146,1918.000,264.695,3855.000,0.583,0.811,39.000,5.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,110,WE00014,B011,LO002,CO1,23.8,v1.4(may22-region),220.260,0.029,908.000,38.984,1931.000,0.535,0.767,1.000,0.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,111,WE00015,B010,LO002,CO1,23.77,v1.4(may22-region),309.999,0.094,741.000,41.946,7697.000,0.445,0.870,4.000,1.000,0.991,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,120,WE00024,B001,LO002,CO1,23.8,v1.4(may22-region),328.786,0.050,1029.000,246.448,2155.000,0.521,0.631,12.000,2.000,0.985,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,123,WE00027,C003,LO002,CO1,23.81,v1.4(may22-region),563.716,0.115,5508.000,306.101,7331.000,0.492,0.625,35.000,5.000,0.991,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,131,WE00035,C011,LO002,CO1,23.82,v1.4(may22-region),589.970,0.112,8648.000,335.858,4752.000,0.640,0.888,38.000,6.000,0.965,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,133,WE00037,D012,LO002,CO1,23.79,v1.4(may22-region),422.781,0.067,7346.000,247.706,6758.000,0.527,0.821,16.000,2.000,0.967,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,137,WE00041,D008,LO002,CO1,23.78,v1.4(may22-region),622.617,0.097,9101.000,427.931,11096.000,0.616,0.858,41.000,6.000,0.973,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,145,WE00049,E001,LO002,CO1,23.8,v1.4(may22-region),680.818,0.128,9132.000,175.979,10658.000,0.389,0.504,23.000,6.000,0.860,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,160,WE00064,F009,LO002,CO1,23.79,v1.4(may22-region),436.640,0.214,4188.000,93.881,3357.000,0.592,0.948,20.000,3.000,0.929,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,163,WE00067,F006,LO002,CO1,23.77,v1.4(may22-region),475.202,0.309,6690.000,49.294,5336.000,0.455,0.674,15.000,2.000,0.920,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,164,WE00068,F005,LO002,CO1,23.82,v1.4(may22-region),741.492,0.083,12036.000,1231.484,10126.000,0.602,0.805,102.000,12.000,0.987,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,171,WE00075,G003,LO002,CO1,23.8,v1.4(may22-region),376.509,0.155,4117.000,55.562,4382.000,0.674,0.939,9.000,2.000,0.993,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,173,WE00077,G005,LO002,CO1,23.82,v1.4(may22-region),362.674,0.043,5189.000,216.856,2912.000,0.681,0.895,9.000,2.000,0.989,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,176,WE00080,G008,LO002,CO1,23.77,v1.4(may22-region),671.480,0.085,8081.000,376.190,8751.000,0.765,0.939,32.000,8.000,0.995,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,178,WE00082,G010,LO002,CO1,23.78,v1.4(may22-region),589.157,0.071,7581.000,1802.946,7945.000,0.711,0.988,129.000,11.000,0.984,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,185,WE00089,H008,LO002,CO1,23.8,v1.4(may22-region),576.743,0.133,6794.000,97.727,9976.000,0.400,0.525,13.000,3.000,0.847,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,191,WE00095,H002,LO002,CO1,23.8,v1.4(may22-region),478.624,0.078,5129.000,502.355,9586.000,0.519,0.692,39.000,5.000,0.958,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,192,WE00096,H001,LO002,CO1,23.76,v1.4(may22-region),507.513,0.101,3883.000,116.852,3839.000,0.503,0.698,12.000,2.000,0.988,0.000,239.000,0.000,155.000,155.000,0.000
200313163128_OlE_HR_IPF0_35C_2x,7,WE00007,A007,LO001,CO1,23.81,v1.4(may22-region),479.057,0.018,3498.000,604.459,4751.000,0.737,0.916,11.000,2.000,0.992,0.000,239.000,0.000,227.000,227.000,0.000
200313163128_OlE_HR_IPF0_35C_2x,8,WE00008,A008,LO001,CO1,23.79,v1.4(may22-region),302.569,0.056,348.000,32.698,2763.000,0.554,0.856,2.000,1.000,1.000,0.000,239.000,0.000,227.000,227.000,0.000
200313163128_OlE_HR_IPF0_35C_2x,9,WE00009,A009,LO001,CO1,23.8,v1.4(may22-region),424.113,0.044,5126.000,353.600,4083.000,0.451,0.616,15.000,2.000,0.978,0.000,239.000,0.000,227.000,227.000,0.000
200313163128_OlE_HR_IPF0_35C_2x,10,WE00010,A010,LO001,CO1,23.82,v1.4(may22-region),492.599,0.113,2176.000,98.540,4330.000,0.556,0.790,11.000,2.000,0.983,0.000,239.000,0.000,227.000,227.000,0.000
200313163128_OlE_HR_IPF0_35C_2x,13,WE00013,B012,LO001,CO1,23.79,v1.4(may22-region),830.677,0.151,7507.000,401.068,35643.000,0.607,0.927,61.000,7.000,0.963,0.000,239.000,0.000,227.000,227.000,0.000
